model,family,task,split,arch,k,acc,tokens,config
0.5B,arc,arc-0003,calib,long,2,1.0,336.0,long_m2
0.5B,arc,arc-0003,calib,long,4,1.0,336.0,long_m4
0.5B,arc,arc-0003,calib,debate,6,1.0,910.0,debate_a3r2
0.5B,arc,arc-0004,calib,single,1,0.0,167.0,
0.5B,arc,arc-0004,calib,vote,4,1.0,618.0,vote_k4
0.5B,arc,arc-0004,calib,oracle,4,1.0,618.0,oracle_k4
0.5B,arc,arc-0004,calib,judge,4,0.5,943.0,judge_k4
0.5B,arc,arc-0004,calib,vote,8,1.0,1280.0,vote_k8
0.5B,arc,arc-0004,calib,oracle,8,1.0,1280.0,oracle_k8
0.5B,arc,arc-0004,calib,judge,8,0.0,1826.0,judge_k8
0.5B,arc,arc-0004,calib,seq,1,0.0,167.0,seq_r1
0.5B,arc,arc-0004,calib,seq,2,0.0,368.0,seq_r2
0.5B,arc,arc-0004,calib,seq,3,0.0,520.0,seq_r3
0.5B,arc,arc-0004,calib,seq,4,1.0,672.0,seq_r4
0.5B,arc,arc-0004,calib,long,2,0.0,450.0,long_m2
0.5B,arc,arc-0004,calib,long,4,0.0,450.0,long_m4
0.5B,arc,arc-0004,calib,debate,6,1.0,1169.0,debate_a3r2
0.5B,arc,arc-0005,calib,single,1,1.0,87.0,
0.5B,arc,arc-0005,calib,vote,4,1.0,393.5,vote_k4
0.5B,arc,arc-0005,calib,oracle,4,1.0,393.5,oracle_k4
0.5B,arc,arc-0005,calib,judge,4,1.0,598.0,judge_k4
0.5B,arc,arc-0005,calib,vote,8,1.0,787.0,vote_k8
0.5B,arc,arc-0005,calib,oracle,8,1.0,787.0,oracle_k8
0.5B,arc,arc-0005,calib,judge,8,1.0,1089.0,judge_k8
0.5B,arc,arc-0005,calib,seq,1,1.0,87.0,seq_r1
0.5B,arc,arc-0005,calib,seq,2,1.0,207.0,seq_r2
0.5B,arc,arc-0005,calib,seq,3,1.0,404.0,seq_r3
0.5B,arc,arc-0005,calib,seq,4,1.0,600.0,seq_r4
0.5B,arc,arc-0005,calib,long,2,0.0,368.0,long_m2
0.5B,arc,arc-0005,calib,long,4,0.0,368.0,long_m4
0.5B,arc,arc-0005,calib,debate,6,1.0,669.0,debate_a3r2
0.5B,arc,arc-0006,calib,single,1,1.0,56.0,
0.5B,arc,arc-0006,calib,vote,4,1.0,235.5,vote_k4
0.5B,arc,arc-0006,calib,oracle,4,1.0,235.5,oracle_k4
0.5B,arc,arc-0006,calib,judge,4,1.0,361.5,judge_k4
0.5B,arc,arc-0006,calib,vote,8,1.0,470.0,vote_k8
0.5B,arc,arc-0006,calib,oracle,8,1.0,470.0,oracle_k8
0.5B,arc,arc-0006,calib,judge,8,1.0,638.0,judge_k8
0.5B,arc,arc-0006,calib,seq,1,1.0,56.0,seq_r1
0.5B,arc,arc-0006,calib,seq,2,1.0,147.0,seq_r2
0.5B,arc,arc-0006,calib,seq,3,1.0,238.0,seq_r3
0.5B,arc,arc-0006,calib,seq,4,1.0,329.0,seq_r4
0.5B,arc,arc-0006,calib,long,2,1.0,89.0,long_m2
0.5B,arc,arc-0006,calib,long,4,1.0,89.0,long_m4
0.5B,arc,arc-0006,calib,debate,6,0.0,454.0,debate_a3r2
0.5B,arc,arc-0007,calib,single,1,1.0,114.0,
0.5B,arc,arc-0007,calib,vote,4,1.0,612.5,vote_k4
0.5B,arc,arc-0007,calib,oracle,4,1.0,612.5,oracle_k4
0.5B,arc,arc-0007,calib,judge,4,1.0,958.0,judge_k4
0.5B,arc,arc-0007,calib,vote,8,1.0,1290.0,vote_k8
0.5B,arc,arc-0007,calib,oracle,8,1.0,1290.0,oracle_k8
0.5B,arc,arc-0007,calib,judge,8,1.0,1913.0,judge_k8
0.5B,arc,arc-0007,calib,seq,1,1.0,114.0,seq_r1
0.5B,arc,arc-0007,calib,seq,2,1.0,369.0,seq_r2
0.5B,arc,arc-0007,calib,seq,3,1.0,624.0,seq_r3
0.5B,arc,arc-0007,calib,seq,4,1.0,782.0,seq_r4
0.5B,arc,arc-0007,calib,long,2,1.0,424.0,long_m2
0.5B,arc,arc-0007,calib,long,4,1.0,424.0,long_m4
0.5B,arc,arc-0007,calib,debate,6,1.0,1146.0,debate_a3r2
0.5B,arc,arc-0008,calib,single,1,0.0,118.0,
0.5B,arc,arc-0008,calib,vote,4,0.0,433.0,vote_k4
0.5B,arc,arc-0008,calib,oracle,4,0.5,433.0,oracle_k4
0.5B,arc,arc-0008,calib,judge,4,0.5,646.5,judge_k4
0.5B,arc,arc-0008,calib,vote,8,0.0,851.0,vote_k8
0.5B,arc,arc-0008,calib,oracle,8,1.0,851.0,oracle_k8
0.5B,arc,arc-0008,calib,judge,8,0.0,1134.0,judge_k8
0.5B,arc,arc-0008,calib,seq,1,0.0,118.0,seq_r1
0.5B,arc,arc-0008,calib,seq,2,0.0,269.0,seq_r2
0.5B,arc,arc-0008,calib,seq,3,0.0,396.0,seq_r3
0.5B,arc,arc-0008,calib,seq,4,0.0,523.0,seq_r4
0.5B,arc,arc-0008,calib,long,2,0.0,377.0,long_m2
0.5B,arc,arc-0008,calib,long,4,0.0,377.0,long_m4
0.5B,arc,arc-0008,calib,debate,6,0.0,798.0,debate_a3r2
0.5B,arc,arc-0009,calib,single,1,0.0,83.0,
0.5B,arc,arc-0009,calib,vote,4,1.0,362.0,vote_k4
0.5B,arc,arc-0009,calib,oracle,4,1.0,362.0,oracle_k4
0.5B,arc,arc-0009,calib,judge,4,1.0,556.0,judge_k4
0.5B,arc,arc-0009,calib,vote,8,1.0,728.0,vote_k8
0.5B,arc,arc-0009,calib,oracle,8,1.0,728.0,oracle_k8
0.5B,arc,arc-0009,calib,judge,8,0.0,1007.0,judge_k8
0.5B,arc,arc-0009,calib,seq,1,0.0,83.0,seq_r1
0.5B,arc,arc-0009,calib,seq,2,0.0,201.0,seq_r2
0.5B,arc,arc-0009,calib,seq,3,0.0,378.0,seq_r3
0.5B,arc,arc-0009,calib,seq,4,0.0,554.0,seq_r4
0.5B,arc,arc-0009,calib,long,2,1.0,373.0,long_m2
0.5B,arc,arc-0009,calib,long,4,1.0,373.0,long_m4
0.5B,arc,arc-0009,calib,debate,6,0.0,650.0,debate_a3r2
0.5B,arc,arc-0010,calib,single,1,1.0,116.0,
0.5B,arc,arc-0010,calib,vote,4,0.5,507.5,vote_k4
0.5B,arc,arc-0010,calib,oracle,4,1.0,507.5,oracle_k4
0.5B,arc,arc-0010,calib,judge,4,0.0,760.0,judge_k4
0.5B,arc,arc-0010,calib,vote,8,0.0,1399.0,vote_k8
0.5B,arc,arc-0010,calib,oracle,8,1.0,1399.0,oracle_k8
0.5B,arc,arc-0010,calib,judge,8,1.0,2045.0,judge_k8
0.5B,arc,arc-0010,calib,seq,1,1.0,116.0,seq_r1
0.5B,arc,arc-0010,calib,seq,2,1.0,386.0,seq_r2
0.5B,arc,arc-0010,calib,seq,3,1.0,656.0,seq_r3
0.5B,arc,arc-0010,calib,seq,4,1.0,818.0,seq_r4
0.5B,arc,arc-0010,calib,long,2,0.0,198.0,long_m2
0.5B,arc,arc-0010,calib,long,4,0.0,198.0,long_m4
0.5B,arc,arc-0010,calib,debate,6,0.0,1204.0,debate_a3r2
0.5B,arc,arc-0011,calib,single,1,0.0,413.0,
0.5B,arc,arc-0011,calib,vote,4,0.0,1399.0,vote_k4
0.5B,arc,arc-0011,calib,oracle,4,0.5,1399.0,oracle_k4
0.5B,arc,arc-0011,calib,judge,4,0.5,2200.0,judge_k4
0.5B,arc,arc-0011,calib,vote,8,0.0,3051.0,vote_k8
0.5B,arc,arc-0011,calib,oracle,8,1.0,3051.0,oracle_k8
0.5B,arc,arc-0011,calib,judge,8,0.0,4717.0,judge_k8
0.5B,arc,arc-0011,calib,seq,1,0.0,413.0,seq_r1
0.5B,arc,arc-0011,calib,seq,2,0.0,1114.0,seq_r2
0.5B,arc,arc-0011,calib,seq,3,0.0,1814.0,seq_r3
0.5B,arc,arc-0011,calib,seq,4,0.0,2317.0,seq_r4
0.5B,arc,arc-0011,calib,long,2,0.0,653.0,long_m2
0.5B,arc,arc-0011,calib,long,4,0.0,653.0,long_m4
0.5B,arc,arc-0011,calib,debate,6,0.0,2070.0,debate_a3r2
0.5B,arc,arc-0012,calib,single,1,0.0,91.0,
0.5B,arc,arc-0012,calib,vote,4,0.5,419.0,vote_k4
0.5B,arc,arc-0012,calib,oracle,4,1.0,419.0,oracle_k4
0.5B,arc,arc-0012,calib,judge,4,1.0,639.5,judge_k4
0.5B,arc,arc-0012,calib,vote,8,0.0,883.0,vote_k8
0.5B,arc,arc-0012,calib,oracle,8,1.0,883.0,oracle_k8
0.5B,arc,arc-0012,calib,judge,8,0.0,1256.0,judge_k8
0.5B,arc,arc-0012,calib,seq,1,0.0,91.0,seq_r1
0.5B,arc,arc-0012,calib,seq,2,0.0,230.0,seq_r2
0.5B,arc,arc-0012,calib,seq,3,0.0,364.0,seq_r3
0.5B,arc,arc-0012,calib,seq,4,0.0,486.0,seq_r4
0.5B,arc,arc-0012,calib,long,2,0.0,352.0,long_m2
0.5B,arc,arc-0012,calib,long,4,0.0,352.0,long_m4
0.5B,arc,arc-0012,calib,debate,6,0.0,788.0,debate_a3r2
0.5B,arc,arc-0013,calib,single,1,0.0,65.0,
0.5B,arc,arc-0013,calib,vote,4,0.0,404.5,vote_k4
0.5B,arc,arc-0013,calib,oracle,4,0.5,404.5,oracle_k4
0.5B,arc,arc-0013,calib,judge,4,0.0,641.0,judge_k4
0.5B,arc,arc-0013,calib,vote,8,0.0,789.0,vote_k8
0.5B,arc,arc-0013,calib,oracle,8,1.0,789.0,oracle_k8
0.5B,arc,arc-0013,calib,judge,8,0.0,1151.0,judge_k8
0.5B,arc,arc-0013,calib,seq,1,0.0,65.0,seq_r1
0.5B,arc,arc-0013,calib,seq,2,1.0,212.0,seq_r2
0.5B,arc,arc-0013,calib,seq,3,1.0,358.0,seq_r3
0.5B,arc,arc-0013,calib,seq,4,0.0,555.0,seq_r4
0.5B,arc,arc-0013,calib,long,2,0.0,98.0,long_m2
0.5B,arc,arc-0013,calib,long,4,0.0,98.0,long_m4
0.5B,arc,arc-0013,calib,debate,6,0.0,568.0,debate_a3r2
0.5B,arc,arc-0014,calib,single,1,0.0,83.0,
0.5B,arc,arc-0014,calib,vote,4,0.0,436.0,vote_k4
0.5B,arc,arc-0014,calib,oracle,4,0.0,436.0,oracle_k4
0.5B,arc,arc-0014,calib,judge,4,0.0,690.0,judge_k4
0.5B,arc,arc-0014,calib,vote,8,0.0,891.0,vote_k8
0.5B,arc,arc-0014,calib,oracle,8,0.0,891.0,oracle_k8
0.5B,arc,arc-0014,calib,judge,8,0.0,1307.0,judge_k8
0.5B,arc,arc-0014,calib,seq,1,0.0,83.0,seq_r1
0.5B,arc,arc-0014,calib,seq,2,0.0,204.0,seq_r2
0.5B,arc,arc-0014,calib,seq,3,0.0,325.0,seq_r3
0.5B,arc,arc-0014,calib,seq,4,0.0,446.0,seq_r4
0.5B,arc,arc-0014,calib,long,2,1.0,349.0,long_m2
0.5B,arc,arc-0014,calib,long,4,1.0,349.0,long_m4
0.5B,arc,arc-0014,calib,debate,6,0.0,889.0,debate_a3r2
0.5B,arc,arc-0015,calib,single,1,1.0,82.0,
0.5B,arc,arc-0015,calib,vote,4,1.0,360.0,vote_k4
0.5B,arc,arc-0015,calib,oracle,4,1.0,360.0,oracle_k4
0.5B,arc,arc-0015,calib,judge,4,0.5,538.5,judge_k4
0.5B,arc,arc-0015,calib,vote,8,1.0,723.0,vote_k8
0.5B,arc,arc-0015,calib,oracle,8,1.0,723.0,oracle_k8
0.5B,arc,arc-0015,calib,judge,8,1.0,975.0,judge_k8
0.5B,arc,arc-0015,calib,seq,1,1.0,82.0,seq_r1
0.5B,arc,arc-0015,calib,seq,2,1.0,284.0,seq_r2
0.5B,arc,arc-0015,calib,seq,3,1.0,486.0,seq_r3
0.5B,arc,arc-0015,calib,seq,4,1.0,603.0,seq_r4
0.5B,arc,arc-0015,calib,long,2,1.0,212.0,long_m2
0.5B,arc,arc-0015,calib,long,4,1.0,212.0,long_m4
0.5B,arc,arc-0015,calib,debate,6,1.0,617.0,debate_a3r2
0.5B,arc,arc-0016,calib,single,1,0.0,147.0,
0.5B,arc,arc-0016,calib,vote,4,0.0,608.5,vote_k4
0.5B,arc,arc-0016,calib,oracle,4,0.0,608.5,oracle_k4
0.5B,arc,arc-0016,calib,judge,4,0.0,1028.0,judge_k4
0.5B,arc,arc-0016,calib,vote,8,0.0,1101.0,vote_k8
0.5B,arc,arc-0016,calib,oracle,8,0.0,1101.0,oracle_k8
0.5B,arc,arc-0016,calib,judge,8,0.0,1697.0,judge_k8
0.5B,arc,arc-0016,calib,seq,1,0.0,147.0,seq_r1
0.5B,arc,arc-0016,calib,seq,2,0.0,327.0,seq_r2
0.5B,arc,arc-0016,calib,seq,3,0.0,445.0,seq_r3
0.5B,arc,arc-0016,calib,seq,4,0.0,621.0,seq_r4
0.5B,arc,arc-0016,calib,long,2,0.0,116.0,long_m2
0.5B,arc,arc-0016,calib,long,4,0.0,116.0,long_m4
0.5B,arc,arc-0016,calib,debate,6,0.0,1046.0,debate_a3r2
0.5B,arc,arc-0017,calib,single,1,0.0,136.0,
0.5B,arc,arc-0017,calib,vote,4,0.0,425.5,vote_k4
0.5B,arc,arc-0017,calib,oracle,4,0.5,425.5,oracle_k4
0.5B,arc,arc-0017,calib,judge,4,0.0,697.5,judge_k4
0.5B,arc,arc-0017,calib,vote,8,0.0,799.0,vote_k8
0.5B,arc,arc-0017,calib,oracle,8,1.0,799.0,oracle_k8
0.5B,arc,arc-0017,calib,judge,8,0.0,1194.0,judge_k8
0.5B,arc,arc-0017,calib,seq,1,0.0,136.0,seq_r1
0.5B,arc,arc-0017,calib,seq,2,0.0,306.0,seq_r2
0.5B,arc,arc-0017,calib,seq,3,1.0,411.0,seq_r3
0.5B,arc,arc-0017,calib,seq,4,1.0,516.0,seq_r4
0.5B,arc,arc-0017,calib,long,2,0.0,385.0,long_m2
0.5B,arc,arc-0017,calib,long,4,0.0,385.0,long_m4
0.5B,arc,arc-0017,calib,debate,6,0.0,742.0,debate_a3r2
0.5B,arc,arc-0018,calib,single,1,0.0,164.0,
0.5B,arc,arc-0018,calib,vote,4,0.0,659.5,vote_k4
0.5B,arc,arc-0018,calib,oracle,4,1.0,659.5,oracle_k4
0.5B,arc,arc-0018,calib,judge,4,0.0,1088.0,judge_k4
0.5B,arc,arc-0018,calib,vote,8,0.0,1271.0,vote_k8
0.5B,arc,arc-0018,calib,oracle,8,1.0,1271.0,oracle_k8
0.5B,arc,arc-0018,calib,judge,8,0.0,1959.0,judge_k8
0.5B,arc,arc-0018,calib,seq,1,0.0,164.0,seq_r1
0.5B,arc,arc-0018,calib,seq,2,0.0,361.0,seq_r2
0.5B,arc,arc-0018,calib,seq,3,0.0,490.0,seq_r3
0.5B,arc,arc-0018,calib,seq,4,0.0,619.0,seq_r4
0.5B,arc,arc-0018,calib,long,2,0.0,386.0,long_m2
0.5B,arc,arc-0018,calib,long,4,0.0,386.0,long_m4
0.5B,arc,arc-0018,calib,debate,6,0.0,1329.0,debate_a3r2
0.5B,arc,arc-0019,calib,single,1,0.0,345.0,
0.5B,arc,arc-0019,calib,vote,4,0.0,949.5,vote_k4
0.5B,arc,arc-0019,calib,oracle,4,1.0,949.5,oracle_k4
0.5B,arc,arc-0019,calib,judge,4,0.5,1515.5,judge_k4
0.5B,arc,arc-0019,calib,vote,8,1.0,1549.0,vote_k8
0.5B,arc,arc-0019,calib,oracle,8,1.0,1549.0,oracle_k8
0.5B,arc,arc-0019,calib,judge,8,0.0,2313.0,judge_k8
0.5B,arc,arc-0019,calib,seq,1,0.0,345.0,seq_r1
0.5B,arc,arc-0019,calib,seq,2,0.0,715.0,seq_r2
0.5B,arc,arc-0019,calib,seq,3,0.0,851.0,seq_r3
0.5B,arc,arc-0019,calib,seq,4,0.0,987.0,seq_r4
0.5B,arc,arc-0019,calib,long,2,1.0,432.0,long_m2
0.5B,arc,arc-0019,calib,long,4,1.0,432.0,long_m4
0.5B,arc,arc-0019,calib,debate,6,1.0,1456.0,debate_a3r2
0.5B,arc,arc-0020,calib,single,1,0.0,78.0,
0.5B,arc,arc-0020,calib,vote,4,0.0,312.0,vote_k4
0.5B,arc,arc-0020,calib,oracle,4,0.0,312.0,oracle_k4
0.5B,arc,arc-0020,calib,judge,4,0.0,449.0,judge_k4
0.5B,arc,arc-0020,calib,vote,8,0.0,624.0,vote_k8
0.5B,arc,arc-0020,calib,oracle,8,0.0,624.0,oracle_k8
0.5B,arc,arc-0020,calib,judge,8,0.0,793.0,judge_k8
0.5B,arc,arc-0020,calib,seq,1,0.0,78.0,seq_r1
0.5B,arc,arc-0020,calib,seq,2,0.0,191.0,seq_r2
0.5B,arc,arc-0020,calib,seq,3,0.0,304.0,seq_r3
0.5B,arc,arc-0020,calib,seq,4,0.0,470.0,seq_r4
0.5B,arc,arc-0020,calib,long,2,0.0,111.0,long_m2
0.5B,arc,arc-0020,calib,long,4,0.0,111.0,long_m4
0.5B,arc,arc-0020,calib,debate,6,0.0,584.0,debate_a3r2
0.5B,arc,arc-0021,calib,single,1,0.0,160.0,
0.5B,arc,arc-0021,calib,vote,4,0.0,425.0,vote_k4
0.5B,arc,arc-0021,calib,oracle,4,0.0,425.0,oracle_k4
0.5B,arc,arc-0021,calib,judge,4,0.0,689.0,judge_k4
0.5B,arc,arc-0021,calib,vote,8,0.0,769.0,vote_k8
0.5B,arc,arc-0021,calib,oracle,8,0.0,769.0,oracle_k8
0.5B,arc,arc-0021,calib,judge,8,0.0,1116.0,judge_k8
0.5B,arc,arc-0021,calib,seq,1,0.0,160.0,seq_r1
0.5B,arc,arc-0021,calib,seq,2,0.0,384.0,seq_r2
0.5B,arc,arc-0021,calib,seq,3,0.0,520.0,seq_r3
0.5B,arc,arc-0021,calib,seq,4,0.0,739.0,seq_r4
0.5B,arc,arc-0021,calib,long,2,0.0,106.0,long_m2
0.5B,arc,arc-0021,calib,long,4,0.0,106.0,long_m4
0.5B,arc,arc-0021,calib,debate,6,0.0,819.0,debate_a3r2
0.5B,arc,arc-0022,calib,single,1,1.0,82.0,
0.5B,arc,arc-0022,calib,vote,4,1.0,332.0,vote_k4
0.5B,arc,arc-0022,calib,oracle,4,1.0,332.0,oracle_k4
0.5B,arc,arc-0022,calib,judge,4,1.0,475.5,judge_k4
0.5B,arc,arc-0022,calib,vote,8,1.0,664.0,vote_k8
0.5B,arc,arc-0022,calib,oracle,8,1.0,664.0,oracle_k8
0.5B,arc,arc-0022,calib,judge,8,1.0,843.0,judge_k8
0.5B,arc,arc-0022,calib,seq,1,1.0,82.0,seq_r1
0.5B,arc,arc-0022,calib,seq,2,1.0,198.0,seq_r2
0.5B,arc,arc-0022,calib,seq,3,1.0,314.0,seq_r3
0.5B,arc,arc-0022,calib,seq,4,1.0,468.0,seq_r4
0.5B,arc,arc-0022,calib,long,2,1.0,114.0,long_m2
0.5B,arc,arc-0022,calib,long,4,1.0,114.0,long_m4
0.5B,arc,arc-0022,calib,debate,6,1.0,607.0,debate_a3r2
0.5B,arc,arc-0023,calib,single,1,1.0,120.0,
0.5B,arc,arc-0023,calib,vote,4,1.0,480.0,vote_k4
0.5B,arc,arc-0023,calib,oracle,4,1.0,480.0,oracle_k4
0.5B,arc,arc-0023,calib,judge,4,1.0,688.0,judge_k4
0.5B,arc,arc-0023,calib,vote,8,1.0,960.0,vote_k8
0.5B,arc,arc-0023,calib,oracle,8,1.0,960.0,oracle_k8
0.5B,arc,arc-0023,calib,judge,8,1.0,1228.0,judge_k8
0.5B,arc,arc-0023,calib,seq,1,1.0,120.0,seq_r1
0.5B,arc,arc-0023,calib,seq,2,1.0,281.0,seq_r2
0.5B,arc,arc-0023,calib,seq,3,1.0,477.0,seq_r3
0.5B,arc,arc-0023,calib,seq,4,1.0,665.0,seq_r4
0.5B,arc,arc-0023,calib,long,2,0.0,347.0,long_m2
0.5B,arc,arc-0023,calib,long,4,0.0,347.0,long_m4
0.5B,arc,arc-0023,calib,debate,6,1.0,863.0,debate_a3r2
0.5B,arc,arc-0024,calib,single,1,1.0,77.0,
0.5B,arc,arc-0024,calib,vote,4,1.0,732.5,vote_k4
0.5B,arc,arc-0024,calib,oracle,4,1.0,732.5,oracle_k4
0.5B,arc,arc-0024,calib,judge,4,0.5,1212.5,judge_k4
0.5B,arc,arc-0024,calib,vote,8,1.0,1259.0,vote_k8
0.5B,arc,arc-0024,calib,oracle,8,1.0,1259.0,oracle_k8
0.5B,arc,arc-0024,calib,judge,8,0.0,1952.0,judge_k8
0.5B,arc,arc-0024,calib,seq,1,1.0,77.0,seq_r1
0.5B,arc,arc-0024,calib,seq,2,1.0,189.0,seq_r2
0.5B,arc,arc-0024,calib,seq,3,1.0,301.0,seq_r3
0.5B,arc,arc-0024,calib,seq,4,1.0,413.0,seq_r4
0.5B,arc,arc-0024,calib,long,2,1.0,289.0,long_m2
0.5B,arc,arc-0024,calib,long,4,1.0,289.0,long_m4
0.5B,arc,arc-0024,calib,debate,6,1.0,1016.0,debate_a3r2
0.5B,arc,arc-0025,calib,single,1,1.0,59.0,
0.5B,arc,arc-0025,calib,vote,4,1.0,236.0,vote_k4
0.5B,arc,arc-0025,calib,oracle,4,1.0,236.0,oracle_k4
0.5B,arc,arc-0025,calib,judge,4,1.0,352.0,judge_k4
0.5B,arc,arc-0025,calib,vote,8,1.0,471.0,vote_k8
0.5B,arc,arc-0025,calib,oracle,8,1.0,471.0,oracle_k8
0.5B,arc,arc-0025,calib,judge,8,1.0,619.0,judge_k8
0.5B,arc,arc-0025,calib,seq,1,1.0,59.0,seq_r1
0.5B,arc,arc-0025,calib,seq,2,1.0,152.0,seq_r2
0.5B,arc,arc-0025,calib,seq,3,1.0,244.0,seq_r3
0.5B,arc,arc-0025,calib,seq,4,1.0,380.0,seq_r4
0.5B,arc,arc-0025,calib,long,2,1.0,90.0,long_m2
0.5B,arc,arc-0025,calib,long,4,1.0,90.0,long_m4
0.5B,arc,arc-0025,calib,debate,6,1.0,466.0,debate_a3r2
0.5B,arc,arc-0026,calib,single,1,0.0,163.0,
0.5B,arc,arc-0026,calib,vote,4,0.5,634.5,vote_k4
0.5B,arc,arc-0026,calib,oracle,4,1.0,634.5,oracle_k4
0.5B,arc,arc-0026,calib,judge,4,1.0,967.0,judge_k4
0.5B,arc,arc-0026,calib,vote,8,0.0,1297.0,vote_k8
0.5B,arc,arc-0026,calib,oracle,8,1.0,1297.0,oracle_k8
0.5B,arc,arc-0026,calib,judge,8,0.0,1844.0,judge_k8
0.5B,arc,arc-0026,calib,seq,1,0.0,163.0,seq_r1
0.5B,arc,arc-0026,calib,seq,2,1.0,359.0,seq_r2
0.5B,arc,arc-0026,calib,seq,3,1.0,512.0,seq_r3
0.5B,arc,arc-0026,calib,seq,4,1.0,665.0,seq_r4
0.5B,arc,arc-0026,calib,long,2,1.0,464.0,long_m2
0.5B,arc,arc-0026,calib,long,4,1.0,464.0,long_m4
0.5B,arc,arc-0026,calib,debate,6,1.0,1158.0,debate_a3r2
0.5B,arc,arc-0027,calib,single,1,1.0,132.0,
0.5B,arc,arc-0027,calib,vote,4,1.0,479.5,vote_k4
0.5B,arc,arc-0027,calib,oracle,4,1.0,479.5,oracle_k4
0.5B,arc,arc-0027,calib,judge,4,0.5,777.5,judge_k4
0.5B,arc,arc-0027,calib,vote,8,0.0,938.0,vote_k8
0.5B,arc,arc-0027,calib,oracle,8,1.0,938.0,oracle_k8
0.5B,arc,arc-0027,calib,judge,8,1.0,1413.0,judge_k8
0.5B,arc,arc-0027,calib,seq,1,1.0,132.0,seq_r1
0.5B,arc,arc-0027,calib,seq,2,1.0,305.0,seq_r2
0.5B,arc,arc-0027,calib,seq,3,1.0,417.0,seq_r3
0.5B,arc,arc-0027,calib,seq,4,1.0,524.0,seq_r4
